timestamp,open,high,low,close,volume
1788526920000,79536.96000000,79549.16000000,79527.34000000,79527.34000000,0.01646000
1788526980000,79553.09000000,79553.09000000,79490.78000000,79490.78000000,0.00868000
1788527040000,79413.07000000,79413.07000000,79413.07000000,79413.07000000,0.00025000
1788527100000,79413.07000000,79413.07000000,79413.07000000,79413.07000000,0.00000000
1788527160000,79385.73000000,79389.21000000,79385.73000000,79389.21000000,0.02512000
1788527220000,79333.42000000,79333.42000000,79333.42000000,79333.42000000,0.00444000
1788527280000,79296.73000000,79296.73000000,79296.73000000,79296.73000000,0.00196000
1788527340000,79457.17000000,79457.17000000,79387.07000000,79387.07000000,0.00065000
1788527400000,79387.07000000,79387.07000000,79387.07000000,79387.07000000,0.00000000
1788527460000,79307.69000000,79307.69000000,79307.69000000,79307.69000000,0.00155000
1788527520000,79307.69000000,79307.69000000,79251.53000000,79302.02000000,2.09467000
1788527580000,79302.02000000,79340.02000000,79264.22000000,79319.72000000,2.11277000
1788527640000,79247.07000000,79247.07000000,79247.07000000,79247.07000000,0.00011000
1788527700000,79247.07000000,79247.07000000,79247.07000000,79247.07000000,0.00000000
1788527760000,79303.61000000,79348.56000000,79303.61000000,79309.76000000,0.02009000
1788527820000,79309.76000000,79309.76000000,79309.76000000,79309.76000000,0.00000000
1788527880000,79309.76000000,79309.76000000,79309.76000000,79309.76000000,0.00000000
1788527940000,79309.76000000,79309.76000000,79309.76000000,79309.76000000,0.00000000
1788528000000,79309.76000000,79309.76000000,79309.76000000,79309.76000000,0.00000000
1788528060000,79393.19000000,79393.19000000,79393.19000000,79393.19000000,0.00128000
1788528120000,79393.19000000,79393.19000000,79393.19000000,79393.19000000,0.00000000
1788528180000,79376.12000000,79392.17000000,79376.12000000,79392.17000000,0.13648000
1788528240000,79392.17000000,79392.17000000,79392.17000000,79392.17000000,0.00000000
1788528300000,79406.86000000,79476.83000000,79376.10000000,79476.83000000,0.03797000
1788528360000,79430.39000000,79472.82000000,79394.67000000,79397.93000000,1.98357000
1788528420000,79376.34000000,79376.34000000,79372.37000000,79372.37000000,0.00657000
1788528480000,79372.37000000,79372.37000000,79372.37000000,79372.37000000,0.00000000
1788528540000,79335.01000000,79335.01000000,79294.10000000,79294.10000000,0.01076000
1788528600000,79335.00000000,79521.30000000,79335.00000000,79481.08000000,2.12935000
1788528660000,79447.96000000,79454.50000000,79378.68000000,79422.54000000,0.05510000
1788528720000,79401.10000000,79401.10000000,79367.27000000,79367.27000000,0.00648000
1788528780000,79359.44000000,79359.80000000,79359.44000000,79359.80000000,0.06563000
1788528840000,79360.00000000,79360.00000000,79229.17000000,79229.17000000,1.00047000
1788528900000,79199.46000000,79212.06000000,79151.14000000,79151.14000000,0.02532000
1788528960000,79124.48000000,79152.54000000,79004.05000000,79005.16000000,0.11665000
1788529020000,79005.35000000,79367.67000000,79005.35000000,79367.67000000,0.11188000
1788529080000,79384.00000000,79384.00000000,79384.00000000,79384.00000000,0.00149000
1788529140000,79326.06000000,79345.73000000,79326.06000000,79342.16000000,0.01737000
1788529200000,79364.73000000,79364.73000000,79364.73000000,79364.73000000,0.00446000
1788529260000,79349.65000000,79405.11000000,79349.65000000,79405.11000000,0.00466000
1788529320000,79399.40000000,79399.40000000,79372.12000000,79372.12000000,0.01343000
1788529380000,79372.12000000,79372.12000000,79372.12000000,79372.12000000,0.00000000
1788529440000,79400.24000000,79408.59000000,79400.24000000,79406.19000000,0.03141000
1788529500000,79373.69000000,79373.71000000,79355.06000000,79355.06000000,0.00670000
1788529560000,79481.53000000,79546.90000000,79481.53000000,79546.90000000,0.01523000
1788529620000,79671.57000000,79706.66000000,79671.57000000,79706.66000000,0.00264000
1788529680000,79685.82000000,79685.82000000,79634.47000000,79634.47000000,0.01085000
1788529740000,79661.45000000,79661.45000000,79661.45000000,79661.45000000,0.00393000
1788529800000,79661.45000000,79661.45000000,79661.45000000,79661.45000000,0.00393000
